epoch,lr,train_loss,train_reg,train_ord,train_con,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,0.9379,0.5092,0.4111,0.1171,9.066,0.0,0.2981,reg_expanded,0.00;0.08;0.33;0.78,434.2
1,0.0001,0.7262,0.3658,0.349,0.0763,8.816,0.0,0.3042,reg_expanded,0.00;0.07;0.38;0.77,431.3
2,0.0001,0.5774,0.2664,0.3026,0.0563,10.701,0.0,0.3438,reg_calibrated,0.00;0.43;0.58;0.36,430.8
3,9.987e-05,0.4991,0.2214,0.2713,0.043,9.61,0.0,0.3968,reg_calibrated,0.00;0.49;0.45;0.65,427.9
4,9.947e-05,0.433,0.1801,0.2479,0.0331,6.681,0.1728,0.4731,reg_expanded,0.17;0.48;0.57;0.67,427.8
5,9.88e-05,0.418,0.1782,0.2354,0.029,6.124,0.5062,0.5649,reg_expanded,0.51;0.63;0.51;0.62,427.6
6,9.788e-05,0.3687,0.1426,0.2226,0.0233,6.163,0.6061,0.6174,reg_expanded,0.63;0.63;0.61;0.61,427.1
7,9.67e-05,0.3412,0.1264,0.2116,0.021,5.652,0.6437,0.6513,reg_expanded,0.65;0.65;0.65;0.64,426.9
8,9.527e-05,0.3227,0.1174,0.2026,0.0173,5.385,0.6533,0.661,reg_expanded,0.65;0.65;0.65;0.68,426.4
9,9.36e-05,0.2949,0.0988,0.1939,0.0148,5.991,0.6748,0.685,reg_expanded,0.68;0.71;0.68;0.67,426.6
10,9.17e-05,0.2796,0.088,0.1894,0.014,5.24,0.6797,0.6834,reg_expanded,0.69;0.68;0.68;0.68,424.7
11,8.957e-05,0.26,0.0787,0.1795,0.0118,5.412,0.679,0.6872,reg_expanded,0.68;0.68;0.68;0.71,424.0
12,8.724e-05,0.2496,0.0713,0.1768,0.0101,4.715,0.679,0.6856,reg_expanded,0.68;0.69;0.68;0.69,427.4
13,8.47e-05,0.241,0.0684,0.1711,0.01,4.819,0.679,0.6814,reg_expanded,0.68;0.68;0.68;0.68,428.9
14,8.198e-05,0.2271,0.0598,0.1661,0.0083,4.766,0.671,0.6843,reg_expanded,0.68;0.68;0.67;0.71,425.5
