epoch,lr,train_loss,train_reg,train_ord,train_con,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,1.2251,0.6293,0.5749,0.139,11.81,0.4839,0.5251,reg_calibrated,0.63;0.49;0.49;0.48,419.9
1,0.0001,0.9326,0.424,0.4937,0.0993,10.165,0.5931,0.6002,reg_calibrated,0.60;0.60;0.59;0.60,419.6
2,0.0001,0.7692,0.3287,0.4295,0.0739,8.687,0.6,0.622,reg_calibrated,0.60;0.60;0.61;0.67,417.4
3,9.987e-05,0.6453,0.2565,0.3801,0.0579,7.765,0.6104,0.617,reg_calibrated,0.63;0.61;0.61;0.61,420.4
4,9.947e-05,0.5315,0.1893,0.3354,0.0457,6.69,0.6234,0.6518,reg_calibrated,0.68;0.63;0.62;0.68,416.5
5,9.88e-05,0.4679,0.157,0.3055,0.0364,6.394,0.6533,0.6663,reg_calibrated,0.67;0.65;0.65;0.69,416.0
6,9.788e-05,0.4174,0.131,0.2818,0.0303,6.042,0.6296,0.6516,reg_calibrated,0.63;0.64;0.63;0.70,415.9
7,9.67e-05,0.3978,0.1279,0.2661,0.0248,5.602,0.6533,0.6582,reg_calibrated,0.67;0.65;0.66;0.65,416.6
8,9.527e-05,0.369,0.1118,0.2541,0.0214,5.05,0.6637,0.6659,reg_calibrated,0.67;0.67;0.67;0.66,416.9
9,9.36e-05,0.3339,0.0892,0.242,0.0183,6.797,0.658,0.6936,reg_calibrated,0.70;0.71;0.66;0.71,417.5
10,9.17e-05,0.3192,0.0829,0.2337,0.0168,5.844,0.6277,0.6819,reg_calibrated,0.75;0.64;0.63;0.71,416.9
11,8.957e-05,0.3081,0.0807,0.2253,0.0142,5.444,0.6533,0.6646,reg_calibrated,0.68;0.65;0.66;0.67,416.5
12,8.724e-05,0.293,0.0708,0.2203,0.013,5.022,0.642,0.659,reg_calibrated,0.64;0.65;0.65;0.69,418.8
13,8.47e-05,0.2785,0.063,0.2138,0.0113,5.429,0.6543,0.6743,reg_calibrated,0.65;0.68;0.66;0.70,420.0
14,8.198e-05,0.2582,0.0515,0.2052,0.0098,5.734,0.6926,0.7014,reg_calibrated,0.72;0.69;0.69;0.70,419.5
15,7.909e-05,0.2586,0.0545,0.2028,0.0088,5.037,0.6715,0.6862,reg_calibrated,0.69;0.71;0.68;0.67,419.2
16,7.605e-05,0.2512,0.0536,0.1964,0.0084,4.61,0.6914,0.6961,reg_calibrated,0.69;0.69;0.69;0.71,419.3
17,7.286e-05,0.2441,0.0486,0.1943,0.0076,4.948,0.6667,0.6881,reg_calibrated,0.67;0.67;0.68;0.74,419.3
18,6.956e-05,0.2346,0.0433,0.1903,0.0067,5.021,0.671,0.6854,reg_calibrated,0.70;0.68;0.67;0.69,418.4
19,6.614e-05,0.2314,0.0434,0.1871,0.0059,5.397,0.68,0.6992,reg_calibrated,0.72;0.68;0.69;0.71,418.6
20,6.265e-05,0.2315,0.0436,0.187,0.0057,4.831,0.68,0.695,reg_calibrated,0.70;0.68;0.69;0.70,418.4
21,5.908e-05,0.2212,0.0366,0.1838,0.0053,4.44,0.6883,0.6984,reg_calibrated,0.70;0.69;0.69;0.71,417.4
22,5.547e-05,0.2138,0.0324,0.1806,0.0047,4.904,0.6797,0.6862,reg_calibrated,0.69;0.69;0.68;0.68,417.7
23,5.183e-05,0.21,0.0313,0.178,0.0044,4.393,0.6667,0.6866,reg_calibrated,0.73;0.67;0.67;0.68,417.5
24,4.817e-05,0.2076,0.0303,0.1767,0.004,5.1,0.6753,0.6986,reg_calibrated,0.75;0.68;0.68;0.69,417.2
25,4.453e-05,0.208,0.0312,0.1762,0.004,4.542,0.68,0.69,reg_calibrated,0.70;0.68;0.69;0.68,416.8
26,4.092e-05,0.2009,0.0277,0.1728,0.0035,4.462,0.68,0.7004,reg_calibrated,0.75;0.68;0.69;0.68,417.5
