epoch,lr,train_loss,train_reg,train_ord,train_con,train_class,train_nll,train_rank,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,1.6517,0.4228,0.3722,0.051,0.9113,0.523,0.655,8.937,0.0,0.2496,class_argmax,0.00;0.00;0.18;0.82,298.1
1,0.0001,1.3321,0.3241,0.3233,0.0355,0.8085,0.358,0.4761,8.675,0.0,0.2488,class_argmax,0.00;0.00;0.00;1.00,292.3
2,0.0001,1.0988,0.2596,0.2907,0.0271,0.7428,0.1931,0.3782,7.744,0.0,0.2511,class_argmax,0.00;0.00;0.01;1.00,287.4
3,9.987e-05,0.9568,0.2226,0.2642,0.0229,0.6891,0.11,0.3314,6.845,0.0,0.288,class_argmax,0.07;0.00;0.09;1.00,296.4
4,9.947e-05,0.8374,0.1872,0.2497,0.0195,0.6557,0.0171,0.3026,5.98,0.0189,0.4016,class_argmax,0.35;0.02;0.27;0.97,295.4
5,9.88e-05,0.7511,0.1651,0.2368,0.0161,0.6304,-0.052,0.2858,5.357,0.1887,0.5203,class_argmax,0.51;0.19;0.46;0.93,295.0
6,9.788e-05,0.6766,0.1459,0.2271,0.0149,0.6074,-0.1116,0.2652,4.996,0.283,0.5837,class_argmax,0.63;0.28;0.52;0.90,293.8
7,9.67e-05,0.6421,0.1388,0.2192,0.0139,0.5926,-0.131,0.2536,4.763,0.3396,0.6025,class_argmax,0.65;0.34;0.54;0.88,296.1
8,9.527e-05,0.5581,0.1186,0.2101,0.012,0.5702,-0.2091,0.2329,4.598,0.4717,0.6354,class_argmax,0.65;0.47;0.56;0.87,296.8
9,9.36e-05,0.5093,0.1075,0.2039,0.011,0.5577,-0.2573,0.2279,4.447,0.4151,0.6268,class_argmax,0.67;0.42;0.56;0.87,298.9
10,9.17e-05,0.4753,0.1012,0.1989,0.0099,0.5448,-0.2886,0.2258,4.307,0.434,0.6345,class_argmax,0.68;0.43;0.53;0.89,292.5
11,8.957e-05,0.4303,0.0943,0.1918,0.0089,0.5282,-0.3261,0.2074,4.21,0.4717,0.6425,class_argmax,0.68;0.47;0.51;0.90,291.5
12,8.724e-05,0.3742,0.0831,0.187,0.0082,0.517,-0.3929,0.2017,4.134,0.4877,0.6513,class_argmax,0.70;0.51;0.49;0.91,298.5
13,8.47e-05,0.329,0.0753,0.1821,0.0074,0.5031,-0.4398,0.1919,4.096,0.4877,0.654,class_argmax,0.68;0.53;0.49;0.92,299.0
14,8.198e-05,0.2884,0.0683,0.1775,0.0067,0.493,-0.4867,0.1906,4.083,0.4938,0.6655,class_argmax,0.70;0.55;0.49;0.92,292.3
15,7.909e-05,0.374,0.0621,0.2368,0.0103,0.6423,-0.5411,0.111,4.09,0.5123,0.6693,class_argmax,0.70;0.55;0.51;0.92,293.4
16,7.605e-05,0.2868,0.0518,0.2243,0.0092,0.61,-0.6355,0.107,4.107,0.4938,0.6631,class_argmax,0.70;0.55;0.49;0.91,292.9
17,7.286e-05,0.225,0.0464,0.2175,0.0082,0.5941,-0.7167,0.1026,4.133,0.5247,0.6763,class_argmax,0.70;0.58;0.52;0.89,296.5
18,6.956e-05,0.1793,0.0417,0.2125,0.0074,0.5837,-0.7774,0.101,4.148,0.5247,0.6692,class_argmax,0.70;0.57;0.52;0.88,290.4
19,6.614e-05,0.1269,0.037,0.2031,0.0068,0.5597,-0.8271,0.094,4.15,0.5185,0.6712,class_argmax,0.70;0.58;0.52;0.88,295.2
20,6.265e-05,0.1248,0.0361,0.2032,0.0061,0.5635,-0.8346,0.098,4.164,0.537,0.6801,class_argmax,0.70;0.60;0.54;0.88,296.1
21,5.908e-05,0.0909,0.0337,0.1996,0.0056,0.5568,-0.882,0.0939,4.199,0.5556,0.6863,class_argmax,0.70;0.62;0.56;0.87,287.1
22,5.547e-05,0.0675,0.0315,0.199,0.0053,0.556,-0.9216,0.0926,4.217,0.5617,0.6816,class_argmax,0.70;0.60;0.56;0.86,293.3
