epoch,lr,train_loss,train_reg,train_ord,train_con,train_class,train_nll,train_rank,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,1.6607,0.4266,0.3755,0.0518,0.9078,0.5293,0.6515,10.86,0.0,0.2927,class_argmax,0.00;0.32;0.27;0.58,281.8
1,0.0001,1.3353,0.3302,0.3203,0.0342,0.8049,0.3603,0.4759,9.298,0.0,0.319,class_argmax,0.00;0.15;0.36;0.76,278.0
2,0.0001,1.1227,0.2635,0.2929,0.026,0.7493,0.2173,0.3871,7.843,0.0,0.3409,class_argmax,0.00;0.11;0.36;0.89,276.7
3,9.987e-05,0.9682,0.223,0.2679,0.023,0.6991,0.113,0.3313,6.653,0.0,0.3748,class_argmax,0.00;0.17;0.42;0.91,275.2
4,9.947e-05,0.853,0.191,0.2529,0.019,0.6653,0.0237,0.3019,5.925,0.2807,0.5086,class_argmax,0.28;0.38;0.50;0.88,278.0
5,9.88e-05,0.767,0.1702,0.2403,0.017,0.6357,-0.0427,0.2805,5.498,0.434,0.5737,class_argmax,0.51;0.43;0.52;0.83,278.1
6,9.788e-05,0.6889,0.1491,0.2281,0.0147,0.6107,-0.0991,0.2624,5.2,0.4906,0.613,class_argmax,0.60;0.49;0.57;0.79,276.2
7,9.67e-05,0.641,0.1379,0.2226,0.0135,0.6009,-0.1492,0.2573,4.949,0.4717,0.6189,class_argmax,0.61;0.47;0.59;0.80,276.2
8,9.527e-05,0.5354,0.1152,0.2067,0.0117,0.5605,-0.2334,0.2356,4.765,0.4528,0.6199,class_argmax,0.65;0.45;0.57;0.80,276.3
9,9.36e-05,0.4858,0.1033,0.2018,0.0103,0.5502,-0.2847,0.2273,4.642,0.4151,0.6226,class_argmax,0.68;0.42;0.60;0.79,276.4
10,9.17e-05,0.4365,0.0936,0.1962,0.0096,0.5383,-0.3344,0.2113,4.537,0.4528,0.6268,class_argmax,0.65;0.45;0.60;0.80,275.8
11,8.957e-05,0.4283,0.0932,0.1926,0.0086,0.5309,-0.3338,0.2089,4.4,0.4717,0.624,class_argmax,0.61;0.47;0.59;0.82,276.6
12,8.724e-05,0.3676,0.0833,0.1861,0.0081,0.5144,-0.4032,0.2027,4.318,0.4528,0.6174,class_argmax,0.61;0.45;0.58;0.82,276.3
13,8.47e-05,0.3217,0.0734,0.1815,0.0076,0.5022,-0.4498,0.1927,4.252,0.434,0.6154,class_argmax,0.61;0.43;0.59;0.83,276.1
14,8.198e-05,0.2759,0.0666,0.1765,0.0067,0.4902,-0.5014,0.183,4.213,0.4717,0.6291,class_argmax,0.61;0.47;0.60;0.83,277.3
15,7.909e-05,0.3824,0.062,0.2377,0.0103,0.6496,-0.5366,0.1167,4.219,0.4906,0.6353,class_argmax,0.61;0.49;0.62;0.82,276.0
16,7.605e-05,0.2692,0.0502,0.2237,0.0089,0.6088,-0.6655,0.1056,4.238,0.4906,0.6404,class_argmax,0.63;0.49;0.63;0.81,277.0
17,7.286e-05,0.225,0.0452,0.215,0.0078,0.5879,-0.7044,0.1038,4.271,0.4717,0.6348,class_argmax,0.63;0.47;0.64;0.80,276.2
18,6.956e-05,0.1948,0.0432,0.2116,0.0076,0.5809,-0.7459,0.1015,4.287,0.4717,0.6293,class_argmax,0.61;0.47;0.63;0.80,276.0
19,6.614e-05,0.148,0.0384,0.2064,0.0067,0.5697,-0.8062,0.0974,4.29,0.4906,0.6259,class_argmax,0.61;0.49;0.60;0.79,276.2
20,6.265e-05,0.1262,0.037,0.2023,0.0061,0.5612,-0.8291,0.095,4.302,0.5094,0.631,class_argmax,0.61;0.51;0.60;0.80,276.3
21,5.908e-05,0.0819,0.033,0.1995,0.0059,0.5535,-0.8956,0.0935,4.322,0.5283,0.6333,class_argmax,0.61;0.53;0.60;0.79,276.1
22,5.547e-05,0.0646,0.0315,0.1973,0.0054,0.5508,-0.9204,0.0945,4.324,0.5472,0.6455,class_argmax,0.63;0.55;0.62;0.79,276.6
23,5.183e-05,0.0429,0.0299,0.1947,0.005,0.5468,-0.9499,0.0918,4.315,0.566,0.6514,class_argmax,0.63;0.57;0.62;0.79,277.1
24,4.817e-05,-0.0014,0.0265,0.1935,0.0046,0.5435,-1.0244,0.0881,4.306,0.566,0.6549,class_argmax,0.63;0.57;0.63;0.79,276.3
25,4.453e-05,-0.0219,0.0252,0.1913,0.0046,0.5377,-1.0529,0.0893,4.297,0.566,0.6521,class_argmax,0.61;0.57;0.64;0.79,276.0
26,4.092e-05,-0.0419,0.0239,0.1893,0.0041,0.5342,-1.0814,0.086,4.302,0.566,0.6517,class_argmax,0.61;0.57;0.63;0.80,275.8
27,3.735e-05,-0.0525,0.0234,0.1877,0.0041,0.5303,-1.0935,0.0842,4.309,0.5283,0.6422,class_argmax,0.61;0.53;0.64;0.79,276.0
28,3.386e-05,-0.0858,0.0213,0.184,0.0038,0.5202,-1.1383,0.0838,4.305,0.5472,0.6382,class_argmax,0.58;0.55;0.64;0.79,276.8
29,3.044e-05,-0.099,0.0208,0.1859,0.0036,0.5276,-1.1743,0.0823,4.31,0.5283,0.6327,class_argmax,0.58;0.53;0.63;0.79,276.2
30,2.714e-05,-0.125,0.0194,0.1828,0.0036,0.5182,-1.2081,0.0828,4.318,0.5283,0.6358,class_argmax,0.58;0.53;0.64;0.79,276.5
31,2.395e-05,-0.1277,0.0187,0.1831,0.0033,0.5216,-1.2153,0.0813,4.324,0.5283,0.6339,class_argmax,0.58;0.53;0.64;0.79,276.7
32,2.091e-05,-0.1588,0.0175,0.1803,0.0032,0.5135,-1.2608,0.0801,4.329,0.5472,0.6441,class_argmax,0.60;0.55;0.64;0.79,278.3
33,1.802e-05,-0.1657,0.0172,0.1818,0.0032,0.518,-1.2812,0.0791,4.322,0.5472,0.6405,class_argmax,0.58;0.55;0.65;0.79,277.5
