epoch,lr,train_loss,train_reg,train_ord,train_con,train_class,train_nll,train_rank,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,1.6778,0.4312,0.3721,0.0529,0.9115,0.5512,0.6663,13.324,0.0,0.2503,class_argmax,0.00;0.04;0.00;0.96,1899.5
1,0.0001,1.3122,0.32,0.317,0.0345,0.801,0.3459,0.4735,10.084,0.0,0.2515,class_argmax,0.00;0.00;0.01;1.00,1911.3
2,0.0001,1.0889,0.2562,0.2846,0.0269,0.7381,0.2033,0.3591,7.749,0.0,0.2733,class_argmax,0.02;0.00;0.08;1.00,1908.7
3,9.987e-05,0.9432,0.2171,0.2645,0.0212,0.6881,0.0922,0.3339,6.355,0.1321,0.4228,class_argmax,0.21;0.13;0.42;0.93,1904.4
4,9.947e-05,0.8334,0.1849,0.2481,0.0184,0.657,0.0149,0.3016,5.481,0.4528,0.6038,class_argmax,0.60;0.45;0.54;0.82,1901.0
5,9.88e-05,0.7568,0.168,0.2368,0.0158,0.6323,-0.0505,0.2872,4.939,0.5094,0.6344,class_argmax,0.68;0.51;0.52;0.82,1899.6
6,9.788e-05,0.6871,0.15,0.2277,0.0141,0.6117,-0.1047,0.2633,4.676,0.3962,0.6207,class_argmax,0.77;0.40;0.50;0.81,1894.6
7,9.67e-05,0.6637,0.144,0.2208,0.0128,0.5995,-0.1111,0.2589,4.511,0.3585,0.631,class_argmax,0.82;0.36;0.52;0.82,1892.5
8,9.527e-05,0.5641,0.1212,0.2081,0.011,0.5714,-0.2017,0.2365,4.338,0.3396,0.6274,class_argmax,0.81;0.34;0.53;0.83,1889.7
9,9.36e-05,0.5114,0.1096,0.2041,0.0102,0.5608,-0.264,0.2344,4.213,0.3962,0.6483,class_argmax,0.82;0.40;0.52;0.85,1882.1
10,9.17e-05,0.4756,0.1032,0.1973,0.0094,0.5436,-0.2852,0.218,4.146,0.3962,0.6443,class_argmax,0.79;0.40;0.53;0.86,1882.0
11,8.957e-05,0.4106,0.0897,0.1905,0.0083,0.5271,-0.3535,0.2081,4.085,0.434,0.6661,class_argmax,0.82;0.43;0.52;0.88,1877.7
12,8.724e-05,0.3654,0.0827,0.1854,0.0075,0.5147,-0.403,0.1978,4.052,0.4528,0.6601,class_argmax,0.79;0.45;0.52;0.88,1879.0
13,8.47e-05,0.3208,0.0738,0.179,0.0068,0.5002,-0.4439,0.1902,4.029,0.434,0.647,class_argmax,0.75;0.43;0.52;0.87,1875.0
14,8.198e-05,0.2826,0.0689,0.1749,0.0067,0.4881,-0.4864,0.1806,4.017,0.434,0.6422,class_argmax,0.74;0.43;0.52;0.88,1856.7
15,7.909e-05,0.4259,0.0676,0.2427,0.0106,0.6627,-0.4844,0.1185,4.021,0.4717,0.646,class_argmax,0.72;0.47;0.53;0.86,1864.0
16,7.605e-05,0.2862,0.0516,0.224,0.0089,0.612,-0.6386,0.1074,4.028,0.4906,0.6513,class_argmax,0.72;0.49;0.56;0.84,1866.7
17,7.286e-05,0.222,0.0447,0.2149,0.0081,0.5915,-0.7122,0.1023,4.035,0.5094,0.6544,class_argmax,0.72;0.51;0.57;0.82,1964.5
18,6.956e-05,0.1792,0.0413,0.2117,0.0072,0.584,-0.7753,0.0988,4.042,0.566,0.6711,class_argmax,0.72;0.57;0.59;0.81,1898.5
19,6.614e-05,0.1093,0.0348,0.2038,0.0066,0.5634,-0.8633,0.0935,4.044,0.566,0.6773,class_argmax,0.72;0.57;0.62;0.80,1865.8
20,6.265e-05,0.0865,0.0338,0.1988,0.0062,0.5519,-0.8852,0.0933,4.056,0.6038,0.6871,class_argmax,0.72;0.60;0.62;0.80,1862.9
21,5.908e-05,0.0694,0.0317,0.1989,0.0057,0.5561,-0.9187,0.0918,4.059,0.6226,0.694,class_argmax,0.70;0.62;0.65;0.80,1863.0
22,5.547e-05,0.0369,0.0297,0.1966,0.0054,0.5507,-0.9687,0.0899,4.062,0.6226,0.7003,class_argmax,0.72;0.62;0.65;0.81,1881.4
23,5.183e-05,0.013,0.0275,0.1932,0.005,0.5434,-0.9981,0.09,4.068,0.6226,0.6972,class_argmax,0.72;0.62;0.65;0.80,1864.7
24,4.817e-05,-0.018,0.0255,0.1898,0.0047,0.5342,-1.0405,0.0919,4.07,0.6038,0.696,class_argmax,0.72;0.60;0.66;0.80,1865.3
25,4.453e-05,-0.0416,0.0248,0.1878,0.0044,0.5311,-1.0762,0.0851,4.069,0.6038,0.696,class_argmax,0.72;0.60;0.66;0.80,1875.1
26,4.092e-05,-0.043,0.024,0.1888,0.0042,0.5346,-1.0841,0.0877,4.077,0.6038,0.696,class_argmax,0.72;0.60;0.66;0.80,1863.3
27,3.735e-05,-0.0771,0.0224,0.184,0.0039,0.5226,-1.1259,0.0846,4.089,0.6038,0.6933,class_argmax,0.72;0.60;0.65;0.80,1862.9
28,3.386e-05,-0.107,0.0206,0.1827,0.0037,0.5193,-1.1766,0.0856,4.098,0.6226,0.6922,class_argmax,0.72;0.62;0.62;0.80,1862.9
29,3.044e-05,-0.1253,0.0196,0.1816,0.0035,0.5163,-1.2037,0.0802,4.116,0.6173,0.6891,class_argmax,0.72;0.62;0.62;0.80,1928.8
30,2.714e-05,-0.1429,0.0186,0.1807,0.0034,0.5151,-1.2348,0.0829,4.119,0.6226,0.6863,class_argmax,0.70;0.62;0.62;0.80,1879.1
31,2.395e-05,-0.1526,0.0184,0.181,0.0034,0.5166,-1.2554,0.0815,4.118,0.6296,0.6885,class_argmax,0.68;0.64;0.63;0.80,1875.9
32,2.091e-05,-0.1791,0.0171,0.1796,0.0032,0.5125,-1.2986,0.0811,4.116,0.6235,0.6921,class_argmax,0.68;0.66;0.62;0.80,1863.4
33,1.802e-05,-0.1988,0.016,0.1778,0.0031,0.507,-1.3263,0.0799,4.121,0.6173,0.7001,class_argmax,0.72;0.66;0.62;0.80,1867.5
34,1.53e-05,-0.2214,0.0152,0.1768,0.0029,0.5046,-1.3642,0.0771,4.131,0.6173,0.6993,class_argmax,0.72;0.66;0.62;0.80,1877.9
35,1.276e-05,-0.2285,0.0144,0.1769,0.0029,0.5058,-1.3792,0.0796,4.136,0.6173,0.6993,class_argmax,0.72;0.66;0.62;0.80,1883.9
36,1.043e-05,-0.2333,0.0146,0.176,0.0028,0.5037,-1.3848,0.078,4.138,0.6111,0.697,class_argmax,0.72;0.66;0.61;0.80,1871.9
37,8.3e-06,-0.2476,0.0138,0.1785,0.0029,0.5106,-1.4237,0.0787,4.14,0.6049,0.7006,class_argmax,0.72;0.68;0.60;0.80,1876.8
38,6.4e-06,-0.2608,0.0134,0.1745,0.0028,0.4992,-1.4297,0.0775,4.154,0.5988,0.699,class_argmax,0.72;0.68;0.60;0.80,1870.5
39,4.73e-06,-0.2723,0.0127,0.1761,0.0027,0.5035,-1.4584,0.0768,4.157,0.6111,0.7013,class_argmax,0.72;0.68;0.61;0.80,1867.6
40,3.3e-06,-0.2824,0.0127,0.1735,0.0028,0.4956,-1.4655,0.077,4.166,0.6111,0.7009,class_argmax,0.72;0.68;0.61;0.79,1866.9
41,2.12e-06,-0.2833,0.0124,0.1748,0.0028,0.5004,-1.4742,0.0769,4.172,0.6049,0.6946,class_argmax,0.72;0.66;0.60;0.79,1867.0
42,1.2e-06,-0.2933,0.012,0.1757,0.0027,0.5016,-1.4964,0.0774,4.177,0.6049,0.6946,class_argmax,0.72;0.66;0.60;0.79,1864.8
43,5.3e-07,-0.2691,0.0128,0.1757,0.0027,0.5029,-1.4511,0.0783,4.182,0.6049,0.6946,class_argmax,0.72;0.66;0.60;0.79,1861.0
44,1.3e-07,-0.3026,0.0118,0.175,0.0028,0.4995,-1.5114,0.0777,4.186,0.6049,0.6895,class_argmax,0.72;0.64;0.60;0.79,1881.1
