epoch,lr,train_loss,train_reg,train_ord,train_con,train_class,train_nll,train_rank,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,1.6783,0.4338,0.372,0.0519,0.9163,0.5412,0.67,9.463,0.0,0.2257,class_argmax,0.00;0.08;0.82;0.01,1860.5
1,0.0001,1.3564,0.3375,0.3209,0.0347,0.8076,0.3847,0.4747,7.993,0.0,0.2723,class_argmax,0.00;0.09;0.83;0.16,1856.8
2,0.0001,1.0662,0.2511,0.282,0.0258,0.7256,0.1897,0.3497,7.233,0.0351,0.3428,class_argmax,0.04;0.04;0.64;0.66,1856.9
3,9.987e-05,0.9696,0.2235,0.2677,0.0228,0.6976,0.1109,0.3463,6.517,0.193,0.4411,class_argmax,0.19;0.23;0.67;0.68,1856.7
4,9.947e-05,0.8351,0.1858,0.2483,0.0193,0.6582,0.0146,0.3022,5.777,0.3585,0.5596,class_argmax,0.51;0.36;0.70;0.67,1856.6
5,9.88e-05,0.776,0.1741,0.2387,0.0171,0.6375,-0.032,0.2833,5.275,0.4151,0.5976,class_argmax,0.63;0.42;0.65;0.69,1857.6
6,9.788e-05,0.7038,0.1558,0.2285,0.0148,0.6144,-0.0872,0.2622,4.855,0.3962,0.6043,class_argmax,0.68;0.40;0.61;0.73,1856.6
7,9.67e-05,0.6376,0.1362,0.2185,0.0127,0.5963,-0.1357,0.2481,4.548,0.3774,0.6237,class_argmax,0.77;0.38;0.59;0.75,1860.3
8,9.527e-05,0.5778,0.1244,0.2114,0.0114,0.5784,-0.1969,0.2428,4.346,0.3962,0.6208,class_argmax,0.75;0.40;0.54;0.79,1856.9
9,9.36e-05,0.5057,0.1079,0.203,0.0103,0.5576,-0.2636,0.2262,4.215,0.3962,0.6232,class_argmax,0.75;0.40;0.53;0.81,1855.0
10,9.17e-05,0.4456,0.0951,0.1954,0.0095,0.5382,-0.3193,0.2163,4.125,0.3774,0.6205,class_argmax,0.75;0.38;0.52;0.83,1854.0
11,8.957e-05,0.4114,0.0899,0.1911,0.0083,0.5303,-0.3571,0.2082,4.064,0.3962,0.6281,class_argmax,0.75;0.40;0.52;0.84,1854.0
12,8.724e-05,0.3681,0.0827,0.1848,0.0074,0.5137,-0.3953,0.1971,4.038,0.3962,0.6331,class_argmax,0.75;0.40;0.53;0.85,1895.9
13,8.47e-05,0.317,0.075,0.1803,0.0072,0.5016,-0.4563,0.1854,4.012,0.3774,0.6236,class_argmax,0.72;0.38;0.54;0.86,1899.7
14,8.198e-05,0.2747,0.0664,0.1756,0.0064,0.491,-0.5037,0.1864,3.988,0.4151,0.6408,class_argmax,0.72;0.42;0.56;0.87,1893.7
15,7.909e-05,0.3799,0.0605,0.2393,0.0099,0.6507,-0.5419,0.1146,3.987,0.4151,0.6415,class_argmax,0.72;0.42;0.57;0.86,1932.4
