epoch,lr,train_loss,train_reg,train_ord,train_con,train_class,train_nll,train_rank,val_mae,val_min_recall,val_balanced_acc,val_strategy,per_class,sec
0,5e-05,1.67,0.4297,0.3726,0.0527,0.9097,0.5429,0.6576,9.52,0.0,0.2679,class_argmax,0.11;0.00;0.01;0.95,1873.6
1,0.0001,1.3082,0.3192,0.3196,0.0341,0.8,0.3412,0.459,8.271,0.0,0.2544,class_argmax,0.02;0.00;0.00;1.00,1862.5
2,0.0001,1.1128,0.2615,0.2893,0.0271,0.7399,0.2231,0.3739,7.335,0.0,0.3126,class_argmax,0.21;0.00;0.04;1.00,1861.3
3,9.987e-05,0.9828,0.2245,0.2692,0.0233,0.6988,0.1367,0.3313,6.42,0.0189,0.4581,class_argmax,0.53;0.02;0.33;0.95,1916.9
4,9.947e-05,0.8677,0.1964,0.253,0.0198,0.6668,0.0366,0.3118,5.659,0.2264,0.5599,class_argmax,0.70;0.23;0.44;0.87,1948.7
5,9.88e-05,0.7578,0.1665,0.2377,0.0163,0.6313,-0.0439,0.281,5.183,0.283,0.5872,class_argmax,0.75;0.28;0.50;0.81,1856.4
6,9.788e-05,0.6759,0.1459,0.2265,0.015,0.606,-0.1122,0.2661,4.889,0.3774,0.6085,class_argmax,0.77;0.38;0.49;0.80,1854.3
7,9.67e-05,0.6148,0.1318,0.2177,0.013,0.5901,-0.1657,0.2505,4.683,0.3962,0.6274,class_argmax,0.81;0.40;0.51;0.80,1854.7
8,9.527e-05,0.5387,0.114,0.2078,0.0115,0.5656,-0.2334,0.24,4.462,0.3585,0.6153,class_argmax,0.79;0.36;0.49;0.82,1857.0
9,9.36e-05,0.4797,0.104,0.1998,0.0101,0.546,-0.2876,0.2204,4.315,0.3774,0.6357,class_argmax,0.81;0.38;0.52;0.84,1854.8
10,9.17e-05,0.4426,0.0967,0.195,0.0093,0.5366,-0.3236,0.21,4.222,0.3962,0.6547,class_argmax,0.84;0.40;0.53;0.85,1854.6
11,8.957e-05,0.4091,0.09,0.1914,0.0084,0.5306,-0.3635,0.2099,4.13,0.4151,0.6707,class_argmax,0.84;0.42;0.56;0.86,1863.1
12,8.724e-05,0.3798,0.0845,0.185,0.0079,0.5129,-0.3752,0.1963,4.075,0.4528,0.6754,class_argmax,0.82;0.45;0.56;0.87,1855.1
13,8.47e-05,0.2935,0.0702,0.1785,0.0069,0.4953,-0.4837,0.1854,4.044,0.4717,0.6793,class_argmax,0.82;0.47;0.56;0.87,1855.1
14,8.198e-05,0.2609,0.0653,0.1743,0.0063,0.4853,-0.5196,0.1839,4.016,0.4528,0.6686,class_argmax,0.81;0.45;0.55;0.87,1854.5
15,7.909e-05,0.3849,0.0626,0.2386,0.0102,0.6492,-0.5328,0.1136,4.024,0.4717,0.6704,class_argmax,0.79;0.47;0.57;0.85,1854.8
16,7.605e-05,0.2629,0.0482,0.2216,0.0089,0.6054,-0.6669,0.1068,4.031,0.5094,0.6805,class_argmax,0.79;0.51;0.59;0.83,1854.9
17,7.286e-05,0.1914,0.0419,0.2124,0.0076,0.5815,-0.7515,0.0994,4.037,0.5472,0.6897,class_argmax,0.77;0.55;0.62;0.82,1854.2
18,6.956e-05,0.1674,0.0392,0.2112,0.0072,0.5816,-0.7911,0.0977,4.048,0.566,0.6928,class_argmax,0.77;0.57;0.62;0.81,1854.4
19,6.614e-05,0.1319,0.0368,0.2047,0.0066,0.5665,-0.8278,0.0954,4.064,0.5472,0.6821,class_argmax,0.75;0.55;0.62;0.80,1854.7
20,6.265e-05,0.097,0.0339,0.2007,0.006,0.5571,-0.8721,0.0902,4.064,0.5472,0.6852,class_argmax,0.75;0.55;0.64;0.80,1855.5
21,5.908e-05,0.0693,0.0318,0.1991,0.0059,0.5544,-0.9177,0.0914,4.064,0.566,0.6943,class_argmax,0.77;0.57;0.64;0.80,1858.6
22,5.547e-05,0.0358,0.0296,0.1938,0.0052,0.5429,-0.9571,0.0893,4.083,0.5472,0.6907,class_argmax,0.77;0.55;0.65;0.80,1859.4
23,5.183e-05,-0.0018,0.0261,0.1936,0.005,0.5424,-1.0228,0.0863,4.1,0.5472,0.6899,class_argmax,0.77;0.55;0.65;0.79,1854.2
24,4.817e-05,-0.0113,0.0256,0.1933,0.0048,0.5435,-1.0424,0.0891,4.119,0.566,0.687,class_argmax,0.74;0.57;0.65;0.79,1853.9
25,4.453e-05,-0.0419,0.0239,0.1902,0.0044,0.5376,-1.0864,0.0853,4.13,0.6038,0.6999,class_argmax,0.74;0.60;0.67;0.79,1878.2
26,4.092e-05,-0.0655,0.0232,0.1847,0.0041,0.5217,-1.1048,0.0845,4.141,0.6038,0.6972,class_argmax,0.74;0.60;0.66;0.79,1854.4
27,3.735e-05,-0.0655,0.0226,0.187,0.004,0.5297,-1.1162,0.0846,4.154,0.5849,0.6948,class_argmax,0.74;0.58;0.67;0.78,1872.9
28,3.386e-05,-0.106,0.0205,0.1846,0.0037,0.5242,-1.1817,0.0825,4.168,0.6038,0.6991,class_argmax,0.74;0.60;0.67;0.78,1892.3
29,3.044e-05,-0.124,0.0198,0.1799,0.0036,0.5108,-1.1923,0.0793,4.178,0.5849,0.6955,class_argmax,0.74;0.58;0.68;0.78,1862.2
30,2.714e-05,-0.1331,0.0189,0.183,0.0034,0.5209,-1.2261,0.0824,4.187,0.566,0.684,class_argmax,0.70;0.57;0.69;0.78,1855.4
31,2.395e-05,-0.1743,0.0172,0.1778,0.0033,0.5058,-1.2786,0.08,4.196,0.566,0.6832,class_argmax,0.70;0.57;0.69;0.78,1856.9
32,2.091e-05,-0.1715,0.0171,0.1821,0.0033,0.5192,-1.2953,0.0813,4.201,0.5472,0.6808,class_argmax,0.70;0.55;0.70;0.78,1884.4
33,1.802e-05,-0.2029,0.0157,0.1799,0.0032,0.5134,-1.344,0.0786,4.194,0.566,0.6863,class_argmax,0.70;0.57;0.70;0.78,1855.5
34,1.53e-05,-0.2198,0.0147,0.1787,0.0031,0.5098,-1.3698,0.0787,4.194,0.5472,0.68,class_argmax,0.70;0.55;0.69;0.78,1854.5
35,1.276e-05,-0.2301,0.0145,0.178,0.003,0.5085,-1.3868,0.078,4.187,0.5472,0.6789,class_argmax,0.70;0.55;0.69;0.78,1855.3
36,1.043e-05,-0.251,0.0138,0.1744,0.0029,0.4969,-1.4084,0.0782,4.183,0.5472,0.6823,class_argmax,0.70;0.55;0.70;0.78,1853.4
37,8.3e-06,-0.2593,0.0137,0.1739,0.0028,0.4966,-1.4223,0.0752,4.179,0.5472,0.6823,class_argmax,0.70;0.55;0.70;0.78,1855.1
